Mockup 1 Labels,Mockup 1,Mockup 1 File Names,Mockup 1 Telescope,Mockup 1 Parallax,Mockup 1 Mask Radius,Mockup 1 Crop,Mockup 1 Band,Mockup 1 Smoothing,Mockup 2 Labels,Mockup 2,Mockup 2 File Names,Mockup 2 Telescope,Mockup 2 Parallax,Mockup 2 Mask Radius,Mockup 2 Crop,Mockup 2 Band,Mockup 2 Smoothing,Mockup 3 Labels,Mockup 3,Mockup 3 Telescope,Mockup 3 File Names,Mockup 3 Parallax,Mockup 3 Mask Radius,Mockup 3 Crop,Mockup 3 Band,Mockup 3 Smoothing,Mockup 4 Labels,Mockup 4,Mockup 4 Telescope,Mockup 4 File Names,Mockup 4 Parallax,Mockup 4 Mask Radius,Mockup 4 Band,Mockup 4 Crop,Mockup 4 Crop,Mockup 4 Smoothing,Mockup 5 Labels,Mockup 5,Mockup 5 Telescope,Mockup 5 File Names,Mockup 5 Parallax,Mockup 5 Mask Radius,Mockup 5 Crop,Mockup 5 Band,Mockup 5 Crop,Mockup 5 Smoothing,Mockup 6 Labels,Mockup 6,Mockup 6 Telescope,Mockup 6 File Names,Mockup 6 Parallax,Mockup 6 Mask Radius,Mockup 6 Band,Mockup 6 Crop,Mockup 6 Smoothing,Mockup 7 Labels,Mockup 7,Mockup 7 Telescope,Mockup 7 File Names,Mockup 7 Parallax,Mockup 7 Mask Radius,Mockup 7 Band,Mockup 7 Crop,Mockup 7 Smoothing,Mockup 8 Labels,Mockup 8,Mockup 8 Telescope,Mockup 8 File Names,Mockup 8 Parallax,Mockup 8 Mask Radius,Mockup 8 Band,Mockup 8 Crop,Mockup 8 Smoothing,Mockup 9 Labels,Mockup 9,Mockup 9 Telescope,Mockup 9 File Names,Mockup 9 Parallax,Mockup 9 Mask Radius,Mockup 9 Band,Mockup 9 Crop,Mockup 9 Smoothing,Mockup 10 Labels,Mockup 10,Mockup 10 Telescope,Mockup 10 File Names,Mockup 10 Parallax,Mockup 10 Mask Radius,Mockup 10 Band,Mockup 10 Crop,Mockup 10 Smoothing,NOTES for Mockup 10
,AB Aur,AB_Aur,VLT,6.412709388,,,,FALSE,,HD100546,546_,VLT,9.249359568,,,,FALSE,,HD100546,VLT,546_,9.249359568,,,,FALSE,,HD100546,VLT,546_,9.249359568,5.5,J,320,320,FALSE,,HD100546,VLT,546_,9.249359568,5.5,320,J,320,FALSE,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,SR24 N,SUBARU,SR24N_HiCIAO,9.9589027,0,H,60,FALSE,,SR24 N,SUBARU,SR24N_HiCIAO,9.9589027,0,H,60,FALSE,,DO Tau,VLT,DO_Tau_2019-11-27_12-20_Q_phi_star_pol_subtr_CUBE,7.219288747,25,H,600,TRUE,try a little smoothing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CS Cha,VLT,CSCha,5.925108285,4.5,J,140,FALSE,,CS Cha,VLT,CSCha,5.925108285,4.5,J,140,FALSE,,CS Cha,VLT,CSCha,5.925108285,4.5,J,140,FALSE,,CS Cha,VLT,CSCha,5.925108285,4.5,J,140,FALSE,,2MASS J1615-1921,VLT,2MASS_J16154416-1921171_SPHERE_2017-03-12_H,7.88777994,8,H,220,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,Empty,Empty,Empty,Empty,Empty,Empty,Empty,FALSE,,AK Sco,GEMINI,AK_Sco_GPI,7.1543442,9.5,H,60,FALSE,,AK Sco,GEMINI,AK_Sco_GPI,7.1543442,9.5,H,60,FALSE,,GW Ori,GEMINI,GW_Ori,2.451004334,8,H,110,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HD34700,GEMINI,,2.853230347,,,,,,,MWC 614,GEMINI,MWC_614_GPI_2018-08-16_J,3.84479091,2.5,J,60,FALSE,,MWC 614,GEMINI,MWC_614_GPI_2018-08-16_J,3.84479091,2.5,J,60,FALSE,,MWC 614,GEMINI,MWC_614_GPI_2018-08-16_J,3.84479091,2.5,J,60,FALSE,,MWC 614,GEMINI,MWC_614_GPI_2018-08-16_J,3.84479091,2.5,J,60,FALSE,,MWC 789,GEMINI,MWC_789,1.3152777,8,H,90,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DO Tau,VLT,DO_Tau_2019-11-27_12-20_Q_phi_star_pol_subtr_CUBE,7.219288747,5.5,H,600,FALSE,,DO Tau,VLT,DO_Tau_2019-11-27_12-20_Q_phi_star_pol_subtr_CUBE,7.219288747,5.5,H,600,FALSE,,DO Tau,VLT,DO_Tau_2019-11-27_12-20_Q_phi_star_pol_subtr_CUBE,7.219288747,5.5,H,600,FALSE,,DO Tau,VLT,DO_Tau_2019-11-27_12-20_Q_phi_star_pol_subtr_CUBE,7.219288747,5.5,H,600,FALSE,,,,,,,,,,"change label of last row to ""ambient material"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J1615-1921,VLT,2MASS_J16154416-1921171_SPHERE_2017-03-12_H,7.88777994,8,H,220,FALSE,,2MASS J1615-1921,VLT,2MASS_J16154416-1921171_SPHERE_2017-03-12_H,7.88777994,8,H,220,FALSE,,2MASS J1615-1921,VLT,2MASS_J16154416-1921171_SPHERE_2017-03-12_H,7.88777994,8,H,220,FALSE,,2MASS J1615-1921,VLT,2MASS_J16154416-1921171_SPHERE_2017-03-12_H,7.88777994,8,H,220,FALSE,,,,,,,,,,"for all images, try this for setting the colorbar scaling: Throw out all pixels under the mask AND outside the image stamp then scale to highest/lowest. Play with percentiles a bit until you think they all look like they have a nice dark background and you can see all the features well"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GW Ori,GEMINI,GW_Ori,2.451004334,6.8,H,110,FALSE,,GW Ori,GEMINI,GW_Ori,2.451004334,6.8,H,110,FALSE,,GW Ori,GEMINI,GW_Ori,2.451004334,6.8,H,110,FALSE,,GW Ori,GEMINI,GW_Ori,2.451004334,6.8,H,110,FALSE,,,,,,,,,,"include a blue/white colormap, as myriam seems to prefer it (I still like pink)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MWC 789,GEMINI,MWC_789,1.3152777,5.5,H,90,FALSE,,MWC 789,GEMINI,MWC_789,1.3152777,5.5,H,90,FALSE,,MWC 789,GEMINI,MWC_789,1.3152777,5.5,H,90,FALSE,,MWC 789,GEMINI,MWC_789,1.3152777,5.5,H,90,FALSE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
